Column,Max_Absolute,Min_Absolute,Mean_Absolute
Column_10,0.512,0.0,0.11808038786362214
Column_25,1.037,0.0,0.1867647794807632
Column_50,1.306,0.0,0.2627213012198937
Column_75,1.586,0.0,0.3253259305598999
Column_100,1.762,0.0,0.3709283703472005
