Configuration,Mean Error (μs),Mean |Error| (μs),Median |Error| (μs),Max |Error| (μs),95th Percentile |Error| (μs),Error < |1μs| (%)
Single Domain,-0.013077633258168605,1.3044027087994672,1.1376441878864387,4.085123849572169,2.9230298777446366,43.7
2 domains (50 hops each),-0.013831811630206527,1.2627166446854239,1.2113687569896194,2.963010783589345,2.335281951227418,35.6
4 domains (25 hops each),-0.05575676717613872,1.4948701501211628,1.5176986675937232,2.6760070687863537,2.2585740895066606,16.6
10 domains (10 hops each),0.08888952461889657,1.8219488574851934,1.857954416478084,2.557291439454982,2.3268747339173657,2.4
