Configuration,Mean Error (μs),Median Error (μs),Max Error (μs),95th Percentile (μs),Error < 1μs (%)
Single Domain,1.2245848006886304,1.0678622192784055,4.1769431907067,2.78304836724286,46.1
2 domains (50 hops each),1.2719917312917017,1.2466013668364069,3.020848280137761,2.271920048831812,35.3
4 domains (25 hops each),1.5167654335055551,1.543362498017986,2.752244260445214,2.2624980531061722,15.6
10 domains (10 hops each),1.8651298155013123,1.8885686439494678,2.5678624950613367,2.3715510384099034,0.4
