Single Domain Error(us),10 domains (10 hops each) Error(us),100_converted(us)
-0.208,0.818,-1.532
-2.483,0.879,-0.541
-0.721,1.278,-0.175
-0.231,-0.286,-1.323
-2.833,0.838,-1.991
0.686,-0.026,-1.667
-1.209,0.511,-0.636
-0.344,0.009,-0.863
-0.996,1.315,1.762
1.502,-0.743,0.355
-1.955,-0.2,-1.963
0.461,0.357,0.699
-2.045,-1.586,0.681
1.848,-1.226,-1.542
-0.389,-1.793,-1.442
-2.911,-0.321,1.551
2.013,0.23,0.505
0.091,0.327,-1.05
-1.141,-0.551,0.344
-2.229,-1.361,-0.571
-1.366,-1.889,0.991
0.534,2.227,0.517
0.524,-0.594,1.236
-3.437,0.873,1.982
0.802,-0.709,1.432
1.593,1.717,1.821
-0.689,1.791,-1.102
1.415,0.778,-0.691
0.84,-1.485,0.631
-0.153,1.044,0.057
-3.25,-2.059,-1.617
0.204,-1.585,-0.859
-1.197,0.282,-0.365
-2.027,-1.211,-2.073
2.038,1.118,-1.868
-1.442,-1.724,-1.556
-1.121,-0.159,-0.768
0.184,0.276,-0.883
-1.798,-3.305,1.833
0.293,0.426,0.707
3.609,2.032,0.151
-1.88,0.614,1.873
-2.042,-1.12,-0.706
-1.867,2.634,-0.517
-2.277,-0.995,-1.063
1.648,1.111,1.018
0.177,-1.857,-0.34
1.041,0.327,0.421
-1.257,0.463,1.027
1.314,-0.059,-1.302
-0.709,-0.46,-0.823
1.496,0.124,1.719
0.827,-1.401,0.719
0.855,-0.977,0.133
0.231,-0.681,-0.378
-1.059,-2.014,1.046
-0.915,0.615,0.738
0.073,0.281,1.967
1.759,0.626,1.001
-1.977,-1.862,-1.949
1.167,-1.054,-0.52
1.629,-2.029,0.935
0.091,-0.216,2.042
-1.504,2.882,1.031
0.838,-1.343,-1.331
0.462,0.814,0.754
0.28,-0.331,-1.039
-2.75,-1.472,1.138
-0.269,-0.398,-1.636
1.077,1.491,0.255
2.243,1.209,-2.394
0.26,1.018,-1.919
0.858,-0.275,1.749
2.045,-0.666,-0.203
-0.329,3.864,1.154
0.131,0.193,-1.491
1.347,3.043,1.814
-1.432,-1.042,-0.574
-1.805,2.905,0.467
1.531,2.433,-0.736
-0.375,1.777,-0.355
0.979,-0.121,-1.017
0.931,-0.14,0.824
-2.884,0.395,-0.629
2.334,2.107,-1.055
-1.919,0.649,-1.2
-0.721,0.37,0.042
1.45,3.138,0.895
1.322,-0.403,-1.651
-1.725,0.237,0.42
0.69,-0.753,-0.72
-2.45,0.081,-1.163
-0.028,0.501,2.33
2.206,2.627,0.123
1.575,0.768,-0.999
-1.041,1.256,-1.622
-0.651,1.068,-1.181
0.4,1.554,-0.902
2.076,1.661,-1.706
0.514,-1.57,0.697
2.423,-0.543,-0.788
-1.974,3.398,2.335
-3.43,0.695,-1.792
0.419,-2.706,-0.638
-2.285,-1.0,-0.753
2.395,-0.313,-0.869
-1.8,0.449,0.716
2.244,-2.48,0.896
0.357,1.094,1.209
-0.756,-0.493,-0.56
-1.999,-0.068,-0.494
0.448,-2.624,0.675
0.004,-2.876,1.115
1.877,1.594,0.942
0.83,-0.273,-0.865
1.132,-1.797,-0.775
1.489,-0.42,-0.173
-1.133,2.285,-1.864
0.867,0.306,-0.144
-1.414,-0.482,0.398
0.743,-1.226,0.826
-0.083,0.737,-1.178
-0.115,-0.225,-1.061
-0.24,1.109,-0.865
-1.589,0.752,1.274
-1.605,-0.594,-1.793
-0.416,2.2,0.971
-1.137,2.334,-1.641
1.036,-1.835,1.861
-0.121,-0.11,-0.597
-0.163,-0.912,1.3
-0.264,-1.204,-1.153
-2.903,1.428,-1.535
-3.389,-1.407,-0.982
2.379,0.804,-1.014
1.123,0.492,-0.875
0.951,-0.794,1.242
-1.265,-1.874,-1.244
-0.686,1.43,-0.43
-1.872,1.571,-2.292
2.299,-0.127,0.278
-0.137,-0.634,2.242
-1.236,-1.483,-1.429
2.183,-2.469,0.732
1.501,-0.144,0.986
1.308,-1.433,0.776
-0.199,0.318,-0.292
-1.685,-0.394,-1.453
0.158,-0.295,-1.255
3.346,-0.516,1.206
0.966,0.699,-0.883
-0.796,-0.946,-1.822
1.391,-0.063,-0.634
-0.565,-1.631,-1.506
0.135,-1.035,-1.162
-3.063,-0.404,0.778
-1.908,1.437,0.638
1.891,0.994,0.711
1.533,3.095,1.507
1.636,2.253,0.23
0.261,-1.769,-0.824
0.991,-3.378,-0.143
-1.256,-0.319,-1.991
-2.646,-0.874,0.67
0.789,0.204,-1.009
-2.135,-1.462,0.857
1.296,-0.98,-1.417
0.027,1.539,0.534
-1.352,2.932,-1.883
0.268,-0.599,1.044
-1.17,0.035,1.705
0.534,-0.968,1.399
-0.714,0.903,1.072
1.414,-0.969,-1.132
1.438,-2.052,0.686
2.818,0.254,-1.026
1.901,1.175,1.841
0.053,0.554,0.88
-1.413,-1.906,-1.228
1.297,0.093,-0.429
-2.821,-1.559,0.634
0.982,2.284,2.538
3.389,-0.306,-0.096
-2.706,-0.024,-1.746
-3.54,3.056,0.4
1.351,0.751,2.374
-0.749,2.513,-0.03
-2.12,-0.338,1.119
0.485,-2.672,1.067
0.21,-1.659,-1.346
-2.169,0.526,0.15
1.619,-1.519,-1.881
-1.274,0.513,-1.186
0.989,0.65,-1.782
0.182,-0.22,1.006
0.836,0.612,-1.29
2.406,-0.979,1.194
0.301,-0.334,-0.187
-1.281,0.855,1.267
0.633,1.092,1.047
-0.759,0.17,1.159
-1.379,-1.584,-0.837
0.565,-0.107,1.289
-1.702,2.279,-0.514
-1.548,-1.252,1.176
0.183,1.073,-1.841
-1.112,0.794,0.3
2.307,0.176,-0.514
-1.689,-1.4,-0.556
-1.845,1.345,0.781
-0.748,-0.883,-1.055
-1.382,-0.08,-0.885
1.08,-0.9,-0.0
-2.15,2.115,1.146
-1.326,-1.027,0.588
0.99,-0.344,-1.874
1.644,0.38,1.368
0.311,0.574,0.797
-2.735,0.699,-1.197
0.296,0.008,-0.477
0.961,0.707,-1.748
-1.346,-2.959,1.469
1.936,-2.148,-1.156
-1.634,0.694,1.816
-1.156,0.594,-1.2
1.833,2.692,0.181
1.011,0.438,0.294
-0.435,1.397,0.728
-1.326,2.61,1.291
-0.168,0.835,-0.665
0.236,-2.547,-0.236
-0.32,-1.358,0.861
-0.292,-1.174,-0.94
-2.059,-0.475,1.504
2.207,-0.789,-1.787
2.225,1.801,-0.008
-0.041,0.019,-1.596
-3.056,0.068,-1.092
-0.899,-0.597,-1.021
