Configuration,Mean Error (us),Mean |Error| (us),Median |Error| (us),Max |Error| (us),95th Percentile |Error| (us),Error < |1us| (%)
Single Domain,0.07659647403122309,1.2779549932962255,1.1375602263635975,4.095244821160017,3.026274670924118,45.6
2 domains (50 hops each),0.0019578790441309693,1.2414678761289515,1.1893542968287183,3.08310414996034,2.399651847316098,38.7
4 domains (25 hops each),0.027939482867417657,1.5257447514374922,1.5347079320956936,2.7280556567021303,2.3080757076173035,15.0
10 domains (10 hops each),-0.06415916120641774,1.8451305503216768,1.870755373633361,2.5695562239448546,2.328854359257684,0.8999999999999999
