1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1.936227872729738e-07,-8.342837066675075e-08,2.843604652649071e-07,1.872190031817461e-07,3.817025602811593e-07,3.9145641706224534e-07,4.264577396748718e-08,-4.2195429884763944e-07,4.0429424636525456e-07,-2.5645188201946465e-07,3.000072955280205e-07,-3.563089506214397e-07,-2.2857645433499963e-08,2.703680782980419e-07,1.1671569876293107e-07,4.395024988513644e-07,-4.2586447227325156e-07,2.0480862024769188e-08,-2.3470460387396862e-07,-2.7017700070542674e-07,-4.46234932277248e-07,4.825113128214033e-07,-3.949148101909369e-08,3.149917424799973e-07,6.449127315508381e-07,6.144104238124059e-07,6.022155435395935e-07,-3.4436137563732687e-07,-1.1960777505575803e-07,-3.548174128383562e-09,-1.7716865272326452e-08,4.709950505163411e-07,-3.550526294890425e-07,-3.702330491156463e-07,-2.236850204603027e-07,8.175173841258286e-07,2.2265896221419224e-07,-2.111843136388897e-07,-1.3607670480480332e-09,-4.700230094905067e-07,-7.026826727764469e-07,-9.274463942830704e-08,-1.4641533426837326e-07,-5.854299300701344e-07,-2.6508938342741053e-07,5.760767847118875e-08,6.955765829182981e-07,-5.666639759288577e-07,-3.3178996179636794e-07,9.101849552300492e-08,6.797416507828693e-07,1.1513245022596309e-06,6.671503586334199e-07,-1.3551604935012006e-07,1.4421247932879639e-06,-6.27531694923442e-07,6.055518887991298e-07,-1.3874298188383446e-07,-1.4267177887075525e-07,5.818676295676623e-07,7.7367954534249e-07,8.966529823973666e-07,-3.210759660111777e-07,-6.272231973497029e-08,-1.7519617469675995e-06,5.619886715121963e-07,-2.893208623343205e-07,1.0210952828871835e-06,1.967893109778712e-07,5.632960892102179e-07,4.592968883713573e-07,1.2864768481647146e-06,-8.234110304658105e-08,-3.3444215527570033e-07,1.3003082699366015e-06,1.832876632574628e-07,5.413450695406926e-07,7.981754317642476e-07,-3.6127190861213064e-07,7.100525142914366e-09,1.389476626925819e-07,-3.045517991986764e-07,1.7677431344661765e-08,-5.676856851986785e-07,1.1258078160006525e-06,1.2600316419272246e-06,-6.947487243788973e-07,3.100903306749746e-07,1.1317503549489456e-06,1.3890976585554e-06,1.3627123276303573e-06,1.0242316324128255e-06,1.816815552431606e-07,-2.9012657313659087e-07,5.671628814507115e-07,-1.1791082736561997e-06,5.051572340591442e-07,1.523088627997719e-06,1.8940138491958314e-06,-8.396557121595524e-07
-3.1509825184672205e-07,3.698013884822311e-07,-2.86119556240209e-07,-1.4154802651932618e-07,-1.5742513748295107e-07,2.303350879145183e-08,1.7058188189236382e-07,-1.2268010184678604e-09,2.3748624267544778e-07,-5.468180220384034e-07,-6.239062591639569e-07,5.386211474914506e-07,-2.3377805502745348e-07,3.7663417959611074e-07,-6.898225890947353e-07,4.5269949207747364e-07,-4.361900490573261e-07,-5.482504044665511e-07,-8.445885595251147e-07,-3.0488100841271754e-09,-1.6180214604990907e-07,5.375189192324849e-07,5.608678806617195e-07,-5.805303432138364e-07,-3.8918719799365684e-07,1.5579889626587472e-07,-1.6401400824226633e-07,-1.0718594263756583e-06,-7.904401691959592e-07,5.567625303605654e-07,2.0656378071090434e-07,4.1681358887909016e-07,-3.521056989648566e-07,3.0062704884310414e-07,-2.393439831461657e-07,4.028021155528207e-07,7.508147242411624e-07,4.6842780258785377e-07,2.1680203634995554e-07,3.121153211033237e-07,-7.567138017603394e-07,1.3779397492659773e-06,-5.796751510447035e-07,4.924596741880121e-07,-3.5827637007812705e-07,5.950506457337722e-08,4.3080165927585333e-07,-2.553596035307375e-07,-2.0591584784936878e-07,-1.552795189441429e-09,-1.1087362275106384e-06,-7.968647446888594e-08,-3.2840058804532994e-07,-1.0213397812794596e-07,-1.4416148568548542e-07,3.2225967600241687e-07,-1.1394324635363702e-06,-1.180049188526094e-06,-5.731793798611561e-07,4.822177554795347e-07,7.387654460683048e-07,-8.956448413613117e-07,-1.1862088391974137e-06,1.041235485136084e-06,4.1889570464850055e-07,-3.6094380048618455e-07,-6.099203910102852e-07,1.091101303248789e-06,5.849438503328722e-07,6.93889679586987e-07,-1.6211372987392618e-07,2.1871142317583896e-07,2.671484267842342e-07,2.9676606483356517e-07,8.615737613140328e-07,-1.6542381172057645e-06,4.265694079602757e-07,-6.771751220473525e-07,6.032838419835866e-07,-3.3939898537377796e-07,-1.9910153242501834e-07,3.4219744576899467e-07,-1.3638189088935334e-07,5.184740744299686e-07,-8.092886663805577e-08,1.4069419021764176e-07,-1.0061359138775695e-06,-1.5909538726060621e-09,2.3639463954971362e-07,4.4991328799419936e-07,-8.546554812285962e-07,8.065001616328465e-07,-3.5822210870616794e-07,7.215445180729633e-07,-9.80252755489683e-07,6.125684195291346e-07,2.2035958515096933e-07,-3.467200928346286e-07,6.933339842867986e-07,3.600055251066355e-07
4.1971355825467367e-07,-1.8960331191866274e-07,-3.702194379480748e-07,3.5454095055800434e-07,2.322372039911541e-07,3.561387886136141e-07,-2.0869810247097566e-07,1.2226076093464873e-07,2.4846484562288393e-07,4.900602039869303e-08,-3.191946135011069e-07,4.73874580257729e-07,-2.869865977321204e-07,-6.526481963348404e-07,3.098658268259617e-08,-1.9271581357987087e-07,5.33065304898272e-07,-1.9798146092375955e-07,2.7824029299135284e-07,-2.0895908672340503e-07,2.1071078745728483e-07,-4.142416838695352e-07,6.748487055777794e-07,-9.397868403367288e-07,-5.246390714423612e-07,-1.147046808846241e-06,-1.7869033455142206e-07,6.699379134268917e-07,-5.105657825510357e-08,1.0435300874370144e-07,4.0462568917330905e-07,-7.775289274154167e-07,7.396418834819047e-07,2.7346661102639245e-07,-2.2506202148219445e-08,-8.215970116649155e-07,-5.381664996010464e-07,-2.98211994694901e-07,-1.749886889001565e-07,7.311439314822225e-07,-6.689560659760091e-07,-5.693888130162649e-07,-2.4292457437044735e-07,9.642847246958315e-07,-3.795518801377919e-07,-6.088352360481048e-07,5.426793326551321e-07,7.449864497638972e-07,4.445950671381192e-07,-8.053856680010379e-07,9.224084645966957e-08,1.3498602345505344e-08,-1.1641382245732024e-06,1.7078541476081783e-07,8.937727213068421e-08,-3.0013760570738393e-07,1.7025606754024512e-06,-2.2184679278550185e-07,1.4303974054364359e-07,-3.4149164919105037e-07,5.427534380443827e-07,-2.6916669505415394e-07,4.395839070771869e-07,-1.302963986440728e-06,1.917986601710314e-06,1.9649540480665065e-08,4.200428266042074e-07,-6.621204534194021e-07,6.537725067229956e-07,-3.5757489051570933e-08,3.817161787185298e-07,4.395933059525367e-07,1.9612501180638462e-06,1.1550909047925366e-07,6.382572147860658e-07,-9.616847198051056e-07,7.644008028837931e-07,-1.3840507302357591e-06,-5.316638977241836e-07,-2.251228607337407e-07,-1.6408072873136612e-07,9.555355706952697e-07,-6.924662277519562e-08,1.131798218997587e-06,6.546741829255382e-07,2.816118275503894e-07,-4.992154633126904e-07,1.2483250965712974e-06,4.6833370557595123e-07,-1.3687351974135742e-06,4.629272133545206e-07,1.673115561977011e-06,-1.0824538150865483e-07,4.3431372932092644e-07,2.372589758851025e-07,-3.2064511708038366e-07,-2.219410451861112e-07,2.0515833987897232e-06,7.677601343941025e-07,-1.8525777987288434e-07
5.510138367250874e-08,-1.4664299392605516e-07,2.491734561395776e-07,2.1542788935749367e-08,4.526810598855095e-07,1.2402023884375248e-07,4.273679227378117e-07,1.0300015877805936e-07,-2.4295166440180664e-07,2.4170119819743986e-08,6.188083050089172e-07,-5.392807579830505e-07,6.029044400031781e-07,1.0676632914738709e-07,-8.592049196130002e-08,-4.0227940020596895e-07,-2.3312500808864334e-07,-3.2044987339964005e-07,-2.82153972444902e-08,2.346744286882492e-07,1.3395451602850835e-07,7.764169870859536e-07,3.502720403546928e-07,-4.68917653303559e-07,2.5444608945883603e-08,-5.757760540521956e-07,5.612902909730334e-07,2.8379980867394587e-08,1.7070559989220981e-07,2.248052948417834e-07,-6.432125356101899e-07,1.7260621180805633e-07,-1.0544411376563096e-06,-1.5502270415426657e-07,7.159005444053082e-07,-3.8807771731389055e-07,4.957317755303635e-07,1.3680636594812952e-07,-7.287649105347934e-07,7.418518876698884e-07,-7.527535680856282e-07,5.0117161456963e-07,-2.166006405015188e-07,-5.909485992292343e-07,-2.0122065505302552e-07,4.2898988184453957e-07,1.6486241142277926e-07,-5.379084540533795e-07,4.619163582929001e-07,3.4982083077289754e-07,3.352545445925826e-07,7.192766862748789e-07,4.6155834844179635e-07,1.7513003803684587e-07,3.728403302182199e-07,-5.530418238789075e-09,-1.4093766964865147e-06,1.5963893676235967e-07,-1.4058947654019243e-07,6.166984254624838e-07,-3.4098995490759514e-07,-5.297575642037481e-07,7.697348914505138e-07,1.6113930513602205e-08,2.1021705161316157e-07,-8.170710613566855e-07,-1.3059357360663143e-06,3.0365605682921973e-07,-3.982635893233115e-07,1.4545764914158847e-07,8.825455818377942e-07,2.3120182664947174e-07,2.962209522213081e-07,-2.845541407536437e-07,1.1423721649904667e-07,-2.54323797758206e-07,-3.3962003165463495e-07,1.1488936631557088e-07,9.207494204150229e-07,2.042393508836483e-07,8.79222667094539e-07,1.621856376659335e-07,4.2388070409552813e-07,1.9082675745501282e-07,2.7554686586556413e-07,-2.5276092882554364e-07,7.691626282289602e-07,1.6082520207550817e-07,3.7783663546048604e-07,-3.2631298036420476e-07,1.2597756589181956e-06,8.790982267103804e-07,-1.1550945504600787e-06,-2.3595848422826475e-07,-2.1545919874481894e-07,2.914639954162295e-07,3.602989682688989e-07,1.043310801635752e-06,-4.721120246553469e-07,1.5060728619480564e-06
9.221298248918082e-08,4.1052208253037464e-07,4.532358741977547e-07,-2.8856360627845027e-07,-3.051060952734082e-07,-2.4834962153904353e-07,-1.8484779138735632e-07,-3.148990369958421e-08,-8.098594848663855e-08,-2.355492437203342e-07,-4.2550490789828676e-07,-1.4649184386210682e-07,-9.62443722823966e-07,-3.5072163779711e-07,-6.349105385638465e-07,-4.6823285416602686e-07,-9.508438833880722e-08,-2.2863137077292548e-07,-4.809386917284548e-07,-3.735595818591906e-08,1.7526306734228422e-07,4.34047833631446e-07,7.122731489087803e-07,3.7052830497647563e-07,-5.910528381014394e-08,3.6434633140406604e-07,-3.6839625308583186e-07,1.9141901905753052e-07,3.484083004702283e-07,-5.210956771259708e-07,5.222882456817626e-08,-1.085063424894866e-07,1.6327443951766642e-07,4.2620471120304595e-07,-1.714073873334554e-07,-2.445176399957324e-07,2.1594922751266256e-07,5.355636054597211e-07,2.0516694488840962e-07,2.218551616890702e-07,-3.851061273676515e-07,5.572607638833339e-07,4.0415308874444615e-08,5.401661867418181e-07,-4.702917658757416e-07,-1.808645717218707e-07,1.910595902189976e-07,1.2732879659731058e-06,-1.292675244562561e-07,-4.1729010617028154e-07,-2.0066680917281121e-07,8.046177189258617e-07,2.9264261589153094e-07,2.7326424273093124e-07,1.795413148876776e-06,-6.235941657113399e-07,5.363854446914803e-07,7.613391946083762e-07,9.495120866970211e-07,7.341919852682736e-07,-6.809113855553251e-07,-1.037964621396772e-06,-1.952948557504825e-07,2.206670089142147e-07,4.1668259334949117e-07,-6.939904210555068e-07,7.504386811104892e-07,-1.1799098189120431e-08,3.407324013253265e-07,6.068469585194525e-07,1.1689500765273448e-06,-5.930236658700784e-07,9.858289500022077e-07,-3.6547910506700385e-07,7.860364906699615e-08,1.2215098891180445e-06,-6.496891320155605e-07,3.147683280895709e-07,9.782250501958351e-07,1.0257585816992149e-06,-2.978229484388797e-07,1.1390814604254198e-07,-1.0731758054768998e-06,4.2314385197322223e-07,-8.167821190804897e-07,-1.2060615206367944e-06,9.11690646926699e-07,-1.1395772306466288e-06,9.045645225609513e-07,5.583302859446566e-07,4.6846815729557e-07,1.2727936643025316e-06,-3.4835374558013345e-07,-1.1852128035070228e-06,9.065115739618475e-07,-4.0700501029846756e-07,-1.906571561452329e-07,3.6842377962506564e-07,6.463586490058331e-07,6.19553598443306e-08
1.686604513168811e-07,-2.3014261163745642e-07,2.6668799761024286e-08,-2.413653529459774e-07,3.9375763066738184e-07,-4.016610066333378e-07,-2.4823214920484587e-07,3.801416095123886e-07,-5.758073645834911e-07,-3.495812804259516e-07,2.8818089573019025e-08,4.760209624419552e-07,-7.913818333513491e-07,1.2112609821498426e-08,-3.923137908001623e-08,-2.501233601134956e-07,5.725880555487618e-08,-6.94577835764593e-07,3.8125892563248605e-07,2.564993736669312e-07,-5.044111178918247e-07,-4.974704821812965e-07,-2.3934027130847797e-07,-3.419318850127796e-07,-1.1006363450116676e-07,-2.5592262903941555e-07,6.132889270371956e-07,-3.3125972159543696e-07,1.9572614704059473e-07,2.363882181649278e-08,3.592692717645115e-08,-5.140659253188439e-07,2.620763212878272e-07,2.6305468670092e-07,-2.7903074818871173e-07,-4.251784382577891e-07,6.216137613285405e-07,1.8295297124919488e-07,-2.1021392309436976e-07,-4.81760967960598e-07,-1.931594320740436e-06,4.28940896692561e-07,8.873437665619097e-07,-5.939949030221416e-07,6.026879689208509e-08,8.060176606369455e-07,-1.1878974673701402e-06,6.469460261794286e-07,-1.563024443006952e-07,9.628308162552397e-07,-1.1006026469039918e-07,6.946491205437159e-08,1.0062849143034133e-06,-7.16038184216774e-07,8.529161511758239e-07,-5.883002440543534e-07,-1.3398257514152865e-07,2.2819632193981354e-07,-2.759361022762047e-07,5.772870574079843e-07,7.304801862902608e-07,9.499909346547348e-07,2.057306197493908e-07,-8.731942881662734e-07,-8.642322325880416e-08,-1.2127425901694203e-06,7.809419113274327e-07,-3.700287537356326e-07,-1.3219738305886478e-08,5.582636175030536e-07,3.7605040895091114e-07,1.362377482575888e-06,1.4826628180558058e-07,-3.9144160543096556e-08,-1.4389922922788444e-07,-6.974925581535436e-07,-1.485128647551664e-06,-1.7059956111189636e-07,5.886360965084073e-07,8.215915038597421e-07,-7.157599435264092e-08,-8.139866755872448e-07,2.3894596825289174e-07,2.0384771261072944e-06,7.035047033604044e-07,7.934656064462626e-07,1.095620766091772e-06,6.451570171227583e-07,1.1030876811986542e-06,2.136023080038871e-06,-9.74463717791509e-07,7.833468262210568e-07,9.357721000478685e-07,1.2200810911567082e-06,-5.812070204938711e-07,5.632548135885453e-07,3.11031542372737e-07,-5.429934869598713e-07,7.152221666349254e-07,-1.8539289584852257e-06
4.122419160896235e-07,5.460621005103602e-07,1.6096734006535312e-07,3.1358936186724977e-07,1.1459153907512702e-07,-1.6712494313833897e-07,2.1267400946668751e-07,-1.2637297898671553e-07,-5.323704023074039e-08,1.6088060966274463e-07,-1.689843940975788e-08,-2.1126009779138117e-07,-7.010027859949358e-08,3.7211131899666606e-07,-4.6761117244242035e-07,9.228209584252192e-08,-2.2853768858794668e-07,2.710597388896103e-07,-1.7036003550003258e-07,3.012210536619159e-07,1.816552117546805e-08,-5.535912292041503e-07,5.400913341549573e-07,1.7697321107135096e-07,8.053747340706084e-08,-3.599168725746205e-07,1.773940849303734e-07,4.3567761874068175e-07,-2.0568279242060315e-07,2.6395656826920944e-07,-3.713573673122755e-07,4.374239772204288e-07,9.378640488725087e-07,2.9276105219026503e-07,-1.0848007297777928e-06,-6.098244881251389e-07,-4.2422707177747455e-07,3.234930972614218e-07,5.438406983581069e-07,-5.236027726710652e-07,-8.469061456834371e-07,7.525401446606111e-07,-3.924843391257039e-07,1.424693783661871e-07,4.239794307134178e-07,-6.666203907002864e-07,1.552302426703343e-07,2.760397035534673e-07,4.6112029435821844e-07,1.1949791836591103e-07,-1.8032010776491245e-07,1.8890595281447112e-07,1.280222259886665e-06,2.2432655271476712e-08,-6.057423698800613e-07,-8.514490802151277e-08,-7.644223159758598e-07,7.676420894770916e-08,6.396402770665146e-07,1.3064070212576328e-06,-4.868638262032628e-07,5.739739064161416e-07,-4.555988406161994e-07,1.0862037445972246e-06,3.1547079679469963e-07,-2.4259159875111624e-07,2.1555953313091292e-07,1.844723679298306e-07,-5.537136319321686e-07,-1.6520283662911002e-07,-4.12992373414082e-07,3.4317739111320505e-07,1.8592415413878883e-07,5.818543899935725e-07,-8.215919844409087e-07,1.0231846400275595e-06,1.7825337794615276e-06,1.2474868533388542e-06,1.31501754298401e-07,-4.1245352788948703e-07,-7.505435917053064e-07,3.5929870481255215e-07,-2.196505254113354e-06,-7.611042593077647e-07,9.472159172763742e-07,2.6147710523302513e-07,6.753495947433072e-07,1.012316497781049e-06,-7.045077315188656e-07,-4.312846459482184e-07,-5.795589946189418e-07,1.817573118725406e-06,4.885960635744267e-07,-6.843199963337952e-07,2.7690715193703406e-07,-7.654817456193174e-07,-8.335075775625191e-07,-9.896587377760354e-07,-5.049819735940752e-07,4.16839111229301e-07
-4.2196081339543446e-08,-1.5992461041030777e-07,2.94912152554718e-07,4.5683519812055e-08,9.761178321695512e-08,-2.3098188641460276e-07,-4.5083624989847583e-07,3.388651752956621e-07,-2.4959939972421656e-07,-3.279990343694689e-08,-8.54749448574861e-07,-8.57014232195345e-08,9.10835032565529e-08,2.7036761917825443e-07,-1.158282924565519e-07,-2.1496667452557482e-07,5.159891075331584e-07,-5.684124527733377e-07,-2.4534939540193745e-07,-1.2391534566704092e-07,-3.596420109960627e-07,3.9996889306520376e-07,-5.291241497469512e-07,-1.360656671473653e-07,-3.980249278732318e-07,-4.092593764512577e-07,2.8374097566785744e-07,1.4619698240411713e-07,6.483801877893339e-07,-2.016742843062053e-07,-1.5667834016568003e-09,-9.400943918631194e-07,3.1946143980933194e-07,6.468585745352614e-07,6.676985077102655e-07,-2.678232793310251e-07,-8.099130117433449e-07,2.602485440418443e-07,3.7937092406382314e-07,-4.8726978594386375e-09,4.672325301081856e-07,-5.146390098325511e-07,8.064971366099138e-07,7.505583299005896e-07,1.1838251656239195e-06,5.2525054498843973e-08,1.31739090280544e-07,5.988291620728481e-07,-1.3557591502209727e-06,-8.301639058975837e-07,2.1751318054658307e-07,-7.975769052109611e-07,-3.375143856257347e-07,-3.3818387670575516e-08,-7.40885570005878e-08,-1.523095559250284e-07,-6.139830113879322e-08,-8.925540415478971e-07,1.872076191567511e-07,5.309548234820043e-07,8.290104104749302e-07,1.8053357035141078e-07,1.7128709864675519e-07,-1.0782518597112155e-06,2.3248899116228646e-08,-1.0905145921991466e-07,4.415399525826704e-07,-1.2132258958500684e-06,7.760505954864739e-07,-2.2134005735119946e-07,9.988088017494852e-07,-8.495197035482483e-07,-2.988212710934405e-08,6.937650130971552e-08,2.281240473203203e-07,5.756622992578884e-08,6.764612961588965e-07,-1.318520049056882e-07,1.266919614189901e-06,4.636398076835348e-07,-3.199342688777938e-07,5.368685663895332e-07,-2.563899501529284e-07,-3.2205463507905965e-07,-2.0085902780796078e-07,9.081540444284123e-08,1.236882101935102e-06,-2.3230920135037918e-07,1.18359719687083e-07,-1.7057074934524352e-08,1.1672286864165315e-06,-1.8403452288529852e-06,1.5749954643314459e-07,1.074031081409177e-06,1.4964020096522654e-07,3.434454507700627e-07,1.744384819294378e-06,8.914134137471625e-07,7.672109847599215e-07,1.6037961535391163e-06
-4.4846606224610966e-07,3.929207939152262e-07,-1.9734727520040523e-08,-2.800368453295022e-07,3.709111402219263e-07,-1.3261576094663542e-07,-2.5737025972130083e-07,-7.532380779747124e-08,1.9066007682751008e-07,-3.108432018360643e-07,2.883041791086096e-08,1.1454578642800426e-07,2.991091951569675e-07,-1.0979099874878968e-07,3.530998413039704e-07,5.748131451078293e-07,-5.62277386279523e-07,1.496974656417479e-07,-3.6972184942838595e-09,-2.656791226436355e-07,3.802178810635139e-07,3.640825834365325e-07,4.941022907681866e-07,1.537120746874384e-07,-2.8410025786674117e-07,1.8322973403622474e-07,2.7869354584030715e-07,1.2243617449271369e-07,-5.015281150264066e-07,-3.366018317258011e-07,-2.296601773978842e-07,4.395584288409381e-07,5.221894307245173e-07,8.349559158132487e-08,-5.142149535017683e-08,-1.100325870204097e-06,-1.1943610060252244e-07,-2.2550805233148003e-07,-2.9274738077489755e-07,5.325924097038356e-08,1.4759721368467387e-06,-1.3094145369832015e-07,-4.1142130937195795e-07,-3.9339545576758797e-07,3.547224269555777e-07,-4.2060778805878655e-07,4.561594142054919e-07,4.762902041748015e-07,9.135769141154592e-08,-2.2803297752282114e-07,-3.1076767303093936e-07,1.7306303972526715e-07,6.481642965926761e-07,7.946364618095235e-08,-6.263813044777791e-08,2.439576294084391e-07,-2.317567917966643e-07,2.7266976755326156e-07,1.0976851855399793e-06,4.585265772200351e-07,1.621051403142919e-07,8.443873953004975e-07,2.730388361160789e-07,1.262713046898268e-08,1.8245711425794943e-07,-2.1974940572383156e-07,1.3154117446584866e-06,-1.7680387647526566e-07,5.178649321621632e-07,2.0709750786879707e-07,9.98426054091145e-07,7.214559727309396e-07,4.5464873566260484e-07,1.0080301115318585e-06,-4.322481989137231e-08,-2.799532849048272e-08,-6.581876296126547e-07,9.75118663442913e-07,3.699826136534648e-08,-1.3107626703683557e-06,7.633396745997409e-07,5.397939759808201e-07,4.1138656066811984e-07,1.1866563110306796e-06,3.574327654952716e-07,-5.288581096544363e-07,1.2391571623094162e-06,-1.6834528681191788e-06,5.062871124600072e-07,-3.902043737668348e-07,1.3921133714929053e-06,-7.124887066978353e-07,-1.5202840552547648e-06,-3.884856330930984e-07,-2.1158432940219872e-07,2.12588517089469e-06,3.914795946339478e-07,-3.3814326662689117e-07,-6.239719069074003e-07,-2.3676535498520535e-06
2.047458889413157e-07,-5.5182348578384394e-08,1.0837642922172812e-07,-3.494039446338699e-07,-7.332643925590828e-08,-4.495888290748397e-08,-2.2871693597186408e-07,2.696906067863567e-07,-2.971927088495115e-07,-5.567667134408282e-07,-5.822294182561521e-07,-4.261720010955458e-07,3.05678231062867e-07,-1.8431904557868833e-07,-8.483180869336708e-08,8.378099410762309e-08,-6.421214255409822e-07,-1.657772661352135e-07,-9.53967124309284e-07,-3.660434467087502e-07,-1.8086187676944697e-07,-7.977327814912452e-07,-2.1797337196776398e-07,-9.342570555096706e-07,1.1083524097507847e-06,-5.134722087654966e-07,-1.30138146303065e-07,4.7082421401565927e-07,-8.211398892092811e-08,1.8920520109585845e-07,3.4706399447456436e-07,3.683591068268862e-07,-6.740803610447845e-07,-1.0935693620861844e-06,2.0420097300055266e-07,-3.9786065664343057e-07,-4.621842194218675e-08,1.4192550413923048e-07,-5.403644700040586e-08,-6.742592074975182e-07,-5.588613833907081e-07,2.722089624851218e-07,7.122596436603622e-07,1.4033571548091043e-06,6.757532991251601e-07,-6.172115997268665e-08,-5.239971538451189e-07,-5.479655910635201e-07,3.7280070651388755e-07,-4.381042358516815e-07,-2.0574665429121113e-07,1.3493696786259884e-07,7.508119375036823e-08,3.633269754773718e-07,-1.571218081768248e-06,1.481985498234097e-07,4.560137518117736e-07,-4.983947900498357e-08,-3.587531623263493e-07,1.5188602995428779e-06,6.748411655985318e-07,-2.5900814071603085e-07,-3.409660454878744e-07,4.945070352808916e-07,3.7439919538687934e-07,-1.7585394872620222e-07,7.076333734005097e-08,1.0202731742830952e-06,-7.621349352451607e-07,3.121914232447634e-07,2.834378233657528e-07,9.433819590219019e-07,8.253933374358479e-07,1.0663998500743957e-06,-4.836601146365936e-07,1.2274584175149752e-06,1.2888857987504312e-06,-4.393892269740705e-07,3.154035615439065e-08,6.66079534960006e-07,-4.898871289168918e-07,-5.7693253520097e-07,3.217070212692506e-07,-3.749021799208847e-07,7.568483696227102e-07,1.2387795384078598e-07,1.331673337929576e-07,1.7122057993862337e-06,7.087583319589599e-07,-7.700210495975333e-07,1.610400995674239e-06,6.441867918943613e-08,9.56169372965811e-07,-5.942428998834651e-07,9.146602117490193e-07,-5.818174316544565e-07,-1.1009640623379738e-06,9.468310854227192e-08,3.2112513220688355e-07,-1.480322938704513e-06
