hops,Synchronization interval=31.25ms,Synchronization interval=125ms,Synchronization interval=1s
10,6.601632429237326e-07,2.4541852247264865e-06,1.974867936004305e-05
25,8.119830067712917e-07,2.447318384268537e-06,1.9532213180035777e-05
50,1.254214074209956e-06,2.859242050013259e-06,1.836876486813601e-05
75,1.9015372742263228e-06,3.641693746545832e-06,2.000384768265737e-05
100,2.8158153711507585e-06,3.808100956901325e-06,2.0208327560779465e-05
